id_product;id_category;category_name
59;2;Начало
119;15;"Мъжки дънки и панталони"
119;2;Начало
162;17;"Къси панталони"
162;2;Начало
163;17;"Къси панталони"
163;2;Начало
165;17;"Къси панталони"
165;2;Начало
166;17;"Къси панталони"
166;2;Начало
188;22;"Мъжки блузи"
188;2;Начало
200;2;Начало
200;20;Суичери
242;10;"Мъжки тениски"
242;2;Начало
246;10;"Мъжки тениски"
246;2;Начало
249;10;"Мъжки тениски"
249;2;Начало
339;15;"Мъжки дънки и панталони"
339;2;Начало
341;15;"Мъжки дънки и панталони"
341;2;Начало
346;16;"Къси дънки"
346;2;Начало
368;10;"Мъжки тениски"
368;2;Начало
411;17;"Къси панталони"
411;15;"Мъжки дънки и панталони"
411;2;Начало
466;17;"Къси панталони"
466;15;"Мъжки дънки и панталони"
466;2;Начало
486;10;"Мъжки тениски"
486;2;Начало
486;33;НОВО
486;11;"Тениски с яка"
508;10;"Мъжки тениски"
508;2;Начало
508;11;"Тениски с яка"
581;22;"Мъжки блузи"
581;2;Начало
693;24;"Мъжки ризи"
693;2;Начало
791;24;"Мъжки ризи"
791;2;Начало
793;24;"Мъжки ризи"
793;2;Начало
815;17;"Къси панталони"
815;15;"Мъжки дънки и панталони"
815;2;Начало
831;12;"Мъжки якета"
831;2;Начало
831;33;НОВО
831;13;Пролетни
842;10;"Мъжки тениски"
842;2;Начало
842;11;"Тениски с яка"
883;10;"Мъжки тениски"
883;2;Начало
883;11;"Тениски с яка"
898;10;"Мъжки тениски"
898;2;Начало
898;11;"Тениски с яка"
923;17;"Къси панталони"
923;15;"Мъжки дънки и панталони"
923;2;Начало
924;17;"Къси панталони"
924;15;"Мъжки дънки и панталони"
924;2;Начало
942;17;"Къси панталони"
942;15;"Мъжки дънки и панталони"
942;2;Начало
1011;22;"Мъжки блузи"
1011;2;Начало
1020;15;"Мъжки дънки и панталони"
1020;2;Начало
1021;10;"Мъжки тениски"
1021;2;Начало
1029;22;"Мъжки блузи"
1029;2;Начало
1032;22;"Мъжки блузи"
1032;2;Начало
1034;22;"Мъжки блузи"
1034;2;Начало
1045;22;"Мъжки блузи"
1045;2;Начало
1048;22;"Мъжки блузи"
1048;2;Начало
1056;22;"Мъжки блузи"
1056;2;Начало
1056;23;Пуловери
1058;22;"Мъжки блузи"
1058;2;Начало
1058;23;Пуловери
1063;22;"Мъжки блузи"
1063;2;Начало
1063;23;Пуловери
1077;22;"Мъжки блузи"
1077;2;Начало
1081;22;"Мъжки блузи"
1081;2;Начало
1081;23;Пуловери
1117;10;"Мъжки тениски"
1117;2;Начало
1120;22;"Мъжки блузи"
1120;2;Начало
1125;10;"Мъжки тениски"
1125;2;Начало
1130;10;"Мъжки тениски"
1130;2;Начало
1144;10;"Мъжки тениски"
1144;2;Начало
1144;11;"Тениски с яка"
1153;10;"Мъжки тениски"
1153;2;Начало
1154;10;"Мъжки тениски"
1154;2;Начало
1169;10;"Мъжки тениски"
1169;2;Начало
1178;10;"Мъжки тениски"
1178;2;Начало
1207;10;"Мъжки тениски"
1207;2;Начало
1232;10;"Мъжки тениски"
1232;2;Начало
1232;11;"Тениски с яка"
1233;10;"Мъжки тениски"
1233;2;Начало
1233;11;"Тениски с яка"
1236;10;"Мъжки тениски"
1236;2;Начало
1236;11;"Тениски с яка"
1246;10;"Мъжки тениски"
1246;2;Начало
1246;11;"Тениски с яка"
1247;10;"Мъжки тениски"
1247;2;Начало
1247;33;НОВО
1247;11;"Тениски с яка"
1250;10;"Мъжки тениски"
1250;2;Начало
1274;10;"Мъжки тениски"
1274;2;Начало
1280;10;"Мъжки тениски"
1280;2;Начало
1280;11;"Тениски с яка"
1291;17;"Къси панталони"
1291;15;"Мъжки дънки и панталони"
1291;2;Начало
1293;10;"Мъжки тениски"
1293;2;Начало
1295;10;"Мъжки тениски"
1295;2;Начало
1297;10;"Мъжки тениски"
1297;2;Начало
1298;10;"Мъжки тениски"
1298;2;Начало
1298;33;НОВО
1299;10;"Мъжки тениски"
1299;2;Начало
1308;17;"Къси панталони"
1308;15;"Мъжки дънки и панталони"
1308;2;Начало
1313;10;"Мъжки тениски"
1313;2;Начало
1318;39;Бански
1318;2;Начало
1322;10;"Мъжки тениски"
1322;2;Начало
1335;10;"Мъжки тениски"
1335;2;Начало
1352;10;"Мъжки тениски"
1352;2;Начало
1357;17;"Къси панталони"
1357;15;"Мъжки дънки и панталони"
1357;2;Начало
1370;10;"Мъжки тениски"
1370;2;Начало
1383;39;Бански
1383;2;Начало
1394;39;Бански
1394;2;Начало
1402;39;Бански
1402;2;Начало
1409;10;"Мъжки тениски"
1409;2;Начало
1414;10;"Мъжки тениски"
1414;2;Начало
1420;10;"Мъжки тениски"
1420;2;Начало
1433;39;Бански
1433;2;Начало
1445;10;"Мъжки тениски"
1445;2;Начало
1446;10;"Мъжки тениски"
1446;2;Начало
1462;39;Бански
1462;2;Начало
1465;39;Бански
1465;2;Начало
1482;22;"Мъжки блузи"
1482;2;Начало
1483;22;"Мъжки блузи"
1483;2;Начало
1485;22;"Мъжки блузи"
1485;2;Начало
1486;22;"Мъжки блузи"
1486;2;Начало
1487;22;"Мъжки блузи"
1487;2;Начало
1491;22;"Мъжки блузи"
1491;2;Начало
1494;22;"Мъжки блузи"
1494;2;Начало
1495;22;"Мъжки блузи"
1495;2;Начало
1496;22;"Мъжки блузи"
1496;2;Начало
1497;22;"Мъжки блузи"
1497;2;Начало
1497;40;Худи
1498;22;"Мъжки блузи"
1498;2;Начало
1512;12;"Мъжки якета"
1512;2;Начало
1512;33;НОВО
1512;13;Пролетни
1513;22;"Мъжки блузи"
1513;2;Начало
1516;22;"Мъжки блузи"
1516;2;Начало
1524;22;"Мъжки блузи"
1524;2;Начало
1532;12;"Мъжки якета"
1532;2;Начало
1532;33;НОВО
1532;13;Пролетни
1535;10;"Мъжки тениски"
1535;2;Начало
1539;22;"Мъжки блузи"
1539;2;Начало
1540;22;"Мъжки блузи"
1540;2;Начало
1543;22;"Мъжки блузи"
1543;2;Начало
1544;22;"Мъжки блузи"
1544;2;Начало
1545;22;"Мъжки блузи"
1545;2;Начало
1546;22;"Мъжки блузи"
1546;2;Начало
1546;40;Худи
1547;22;"Мъжки блузи"
1547;2;Начало
1547;40;Худи
1553;10;"Мъжки тениски"
1553;2;Начало
1574;22;"Мъжки блузи"
1574;2;Начало
1579;22;"Мъжки блузи"
1579;2;Начало
1579;23;Пуловери
1580;22;"Мъжки блузи"
1580;2;Начало
1580;23;Пуловери
1583;22;"Мъжки блузи"
1583;2;Начало
1583;40;Худи
1586;10;"Мъжки тениски"
1586;2;Начало
1587;10;"Мъжки тениски"
1587;2;Начало
1592;22;"Мъжки блузи"
1592;2;Начало
1592;23;Пуловери
1600;22;"Мъжки блузи"
1600;2;Начало
1600;23;Пуловери
1604;10;"Мъжки тениски"
1604;2;Начало
1606;21;Долнище
1606;18;"Мъжки екипи"
1606;2;Начало
1607;22;"Мъжки блузи"
1607;2;Начало
1607;23;Пуловери
1612;22;"Мъжки блузи"
1612;2;Начало
1612;23;Пуловери
1614;10;"Мъжки тениски"
1614;2;Начало
1615;10;"Мъжки тениски"
1615;2;Начало
1617;10;"Мъжки тениски"
1617;2;Начало
1618;10;"Мъжки тениски"
1618;2;Начало
1620;10;"Мъжки тениски"
1620;2;Начало
1621;10;"Мъжки тениски"
1621;2;Начало
1626;10;"Мъжки тениски"
1626;2;Начало
1628;10;"Мъжки тениски"
1628;2;Начало
1632;10;"Мъжки тениски"
1632;2;Начало
1639;10;"Мъжки тениски"
1639;2;Начало
1642;10;"Мъжки тениски"
1642;2;Начало
1649;10;"Мъжки тениски"
1649;2;Начало
1652;10;"Мъжки тениски"
1652;2;Начало
1653;10;"Мъжки тениски"
1653;2;Начало
1655;10;"Мъжки тениски"
1655;2;Начало
1662;10;"Мъжки тениски"
1662;2;Начало
1664;10;"Мъжки тениски"
1664;2;Начало
1666;10;"Мъжки тениски"
1666;2;Начало
1674;10;"Мъжки тениски"
1674;2;Начало
1675;10;"Мъжки тениски"
1675;2;Начало
1677;10;"Мъжки тениски"
1677;2;Начало
1681;10;"Мъжки тениски"
1681;2;Начало
1682;10;"Мъжки тениски"
1682;2;Начало
1685;10;"Мъжки тениски"
1685;2;Начало
1690;10;"Мъжки тениски"
1690;2;Начало
1690;33;НОВО
1690;11;"Тениски с яка"
1692;10;"Мъжки тениски"
1692;2;Начало
1692;33;НОВО
1692;11;"Тениски с яка"
1695;10;"Мъжки тениски"
1695;2;Начало
1695;11;"Тениски с яка"
1697;10;"Мъжки тениски"
1697;2;Начало
1702;10;"Мъжки тениски"
1702;2;Начало
1709;10;"Мъжки тениски"
1709;2;Начало
1711;10;"Мъжки тениски"
1711;2;Начало
1711;11;"Тениски с яка"
1712;10;"Мъжки тениски"
1712;2;Начало
1712;11;"Тениски с яка"
1713;10;"Мъжки тениски"
1713;2;Начало
1713;11;"Тениски с яка"
1715;10;"Мъжки тениски"
1715;2;Начало
1720;10;"Мъжки тениски"
1720;2;Начало
1721;10;"Мъжки тениски"
1721;2;Начало
1721;11;"Тениски с яка"
1722;10;"Мъжки тениски"
1722;2;Начало
1722;11;"Тениски с яка"
1727;10;"Мъжки тениски"
1727;2;Начало
1728;10;"Мъжки тениски"
1728;2;Начало
1728;33;НОВО
1729;10;"Мъжки тениски"
1729;2;Начало
1732;10;"Мъжки тениски"
1732;2;Начало
1733;10;"Мъжки тениски"
