id_product;sku;name;price;description;description_short
162;0059;"бели къси панталони на листа";19.173446;"<p>бели къси панталони на сини листа</p>";"<table width=""325"" style=""height:117px;""><tbody><tr><td>
<p></p>
</td>
</tr><tr><td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td>L</td>
<td>XL</td>
<td>XXL</td>
</tr><tr><td><span style=""color:#d0121a;"">A</span>ширина-талия(неразпънато положение)</td>
<td>38</td>
<td>
<p>40</p>
</td>
<td>42</td>
<td>44</td>
<td>46</td>
</tr><tr><td>
<p><span style=""color:#d0121a;"">B</span>дължина</p>
</td>
<td>50</td>
<td>51</td>
<td>52</td>
<td>53</td>
<td>
<p>54</p>
</td>
</tr></tbody></table><p><img src=""https://topstyle.bg/img/cms/%D0%BA%D1%8A%D1%81%D0%B8%20%D0%B3%D0%B0%D1%89%D0%B8.png"" alt="""" width=""350"" height=""350"" /></p>"
163;0060;"къси панталони";17.043063;"<p>къси панталони цвят бордо</p>";"<table width=""325"" style=""height:117px;""><tbody><tr><td>
<p></p>
</td>
</tr><tr><td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td>L</td>
<td>XL</td>
<td>XXL</td>
</tr><tr><td><span style=""color:#d0121a;"">A</span>ширина-талия(неразпънато положение)</td>
<td>38</td>
<td>
<p>40</p>
</td>
<td>42</td>
<td>43</td>
<td>44</td>
</tr><tr><td>
<p><span style=""color:#d0121a;"">B</span>дължина</p>
</td>
<td>54</td>
<td>
<p>55</p>
</td>
<td>56</td>
<td>57</td>
<td>
<p>58</p>
</td>
</tr></tbody></table><p><img src=""https://topstyle.bg/img/cms/%D0%BA%D1%8A%D1%81%D0%B8%20%D0%B3%D0%B0%D1%89%D0%B8.png"" alt="""" width=""350"" height=""350"" /></p>"
166;0063;"зелени къси панталони с връзки";19.173446;"<p>къси панталони тип камуфлаж.Модела е със 3 джоба-2 странични и 1 отзад.Перфектна кройка</p>";"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>
<p></p>
</td>
</tr>
<tr>
<td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td>L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td><span style=""color:#d0121a;"">A</span>ширина-талия(неразпънато положение)</td>
<td>38</td>
<td>
<p>40</p>
</td>
<td>42</td>
<td>44</td>
<td>46</td>
</tr>
<tr>
<td>
<p><span style=""color:#d0121a;"">B</span>дължина</p>
</td>
<td>50</td>
<td>51</td>
<td>52</td>
<td>53</td>
<td>
<p>54</p>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/%D0%BA%D1%8A%D1%81%D0%B8%20%D0%B3%D0%B0%D1%89%D0%B8.png"" alt="""" width=""350"" height=""350"" /></p>"
249;0125;тениска;16.616986;"<p>тениска на листа</p>";"<table width=""325"" style=""height:117px;""><tbody><tr><td>Размери см</td>
<td>S</td>
<td>M</td>
<td>L</td>
<td>XL</td>
<td>XXL</td>
</tr><tr><td>А ширина от подмишница до подмишница</td>
<td>48</td>
<td>50</td>
<td>52</td>
<td>54</td>
<td>56</td>
</tr><tr><td>
<p>B дължина от рамо</p>
<p></p>
</td>
<td>66</td>
<td>67</td>
<td>68</td>
<td>69</td>
<td>70</td>
</tr></tbody></table><p><img src=""https://topstyle.bg/img/cms/0-02-0a-ad9ff39085c8f321ff0ff8578742904ac832995b981c464ce9a446b976036823_38cdbc29.png"" alt="""" width=""350"" height=""350"" /></p>"
339;0186;дънки;27.694977;;"<table width=""456"" style=""height:98px;""><tbody><tr><td>Размери -номерация</td>
<td>29</td>
<td>30</td>
<td>31</td>
<td>32</td>
<td>33</td>
<td>34</td>
<td>36</td>
<td></td>
</tr><tr><td><span style=""color:#d0121a;"">А</span>талия в см</td>
<td>36</td>
<td>37</td>
<td>40</td>
<td>41</td>
<td>41</td>
<td>43</td>
<td>45</td>
<td></td>
</tr><tr><td><span style=""color:#d0121a;"">В</span>дължина в см</td>
<td>98</td>
<td>99</td>
<td>99</td>
<td>99</td>
<td>103</td>
<td>103</td>
<td>103</td>
<td></td>
</tr></tbody></table><p><img src=""https://topstyle.bg/img/cms/%D0%B4%D1%8A%D0%BD%D0%BA%D0%B8.png"" alt="""" width=""250"" height=""250"" /></p>
<p></p>"
341;0188;дънки;31.955743;;"<p></p>
<table width=""456"" style=""height:98px;"">
<tbody>
<tr>
<td>Размери -номерация</td>
<td>44</td>
<td>46</td>
<td>48</td>
<td>50</td>
<td>52</td>
<td>54</td>
<td>56</td>
<td></td>
</tr>
<tr>
<td><span style=""color:#d0121a;"">А</span>талия в см</td>
<td>37</td>
<td>39</td>
<td>40</td>
<td>41</td>
<td>42</td>
<td>44</td>
<td>46</td>
<td></td>
</tr>
<tr>
<td><span style=""color:#d0121a;"">В</span>дължина в см</td>
<td>102</td>
<td>103</td>
<td>103</td>
<td>104</td>
<td>104</td>
<td>105</td>
<td>105</td>
<td></td>
</tr>
</tbody>
</table>
<p></p>
<p><img src=""https://topstyle.bg/img/cms/%D0%B4%D1%8A%D0%BD%D0%BA%D0%B8.png"" alt="""" width=""250"" height=""250"" /></p>"
346;0191;"къси дънки с аксесоар синджир";27.694977;"<p>Черни къси дънки със страничен ефектен синджир.Модела е с протрит ефект,леко втален</p>";"<table width=""456"" style=""height:98px;"">
<tbody>
<tr>
<td></td>
</tr>
<tr>
<td>Размери -номерация</td>
<td>44</td>
<td>46</td>
<td>48</td>
<td>50</td>
<td>52</td>
<td>54</td>
<td>56</td>
<td></td>
</tr>
<tr>
<td><span style=""color:#d0121a;"">А</span>талия в см</td>
<td>40</td>
<td>41</td>
<td>42</td>
<td>43</td>
<td>44</td>
<td>45</td>
<td>47</td>
<td></td>
</tr>
<tr>
<td><span style=""color:#d0121a;"">В</span>дължина в см</td>
<td>50</td>
<td>50</td>
<td>50</td>
<td>50</td>
<td>51</td>
<td>51</td>
<td>52</td>
<td></td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/%D0%BA%D1%8A%D1%81%D0%B8%20%D0%B3%D0%B0%D1%89%D0%B8.png"" alt="""" width=""350"" height=""350"" /></p>"
411;0242;"сиви къси панталони";22.582058;"<p>сиви къси панталони с връзки в модерен принт.Модела е от висококачествен памук,стандартна кройка</p>";"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>
<p></p>
</td>
</tr>
<tr>
<td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td>L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td><span style=""color:#d0121a;"">A</span>ширина-талия(неразпънато положение)</td>
<td>38</td>
<td>
<p>40</p>
</td>
<td>42</td>
<td>44</td>
<td>46</td>
</tr>
<tr>
<td>
<p><span style=""color:#d0121a;"">B</span>дължина</p>
</td>
<td>50</td>
<td>51</td>
<td>52</td>
<td>53</td>
<td>
<p>54</p>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/%D0%BA%D1%8A%D1%81%D0%B8%20%D0%B3%D0%B0%D1%89%D0%B8.png"" alt="""" width=""350"" height=""350"" /></p>
<p></p>"
466;0282;"къси панталони";22.582058;"<p>черни къси панталони.Перфектна кройка</p>";"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>
<p></p>
</td>
</tr>
<tr>
<td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td>L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td><span style=""color:#d0121a;"">A</span>ширина-талия(неразпънато положение)</td>
<td>38</td>
<td>
<p>40</p>
</td>
<td>42</td>
<td>44</td>
<td>46</td>
</tr>
<tr>
<td>
<p><span style=""color:#d0121a;"">B</span>дължина</p>
</td>
<td>50</td>
<td>51</td>
<td>52</td>
<td>53</td>
<td>
<p>54</p>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/%D0%BA%D1%8A%D1%81%D0%B8%20%D0%B3%D0%B0%D1%89%D0%B8.png"" alt="""" width=""350"" height=""350"" /></p>
<p></p>"
581;0380;"блуза с гумена щампа";22.582058;"<p>блуза с гумена щампа,топ модел</p>";"<p></p>
<p></p>
<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>
<p></p>
</td>
</tr>
<tr>
<td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td>L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td>A ширина от подмишница до подмишница</td>
<td>48</td>
<td>
<p>50</p>
</td>
<td>52</td>
<td>54</td>
<td>55</td>
</tr>
<tr>
<td>
<p>B дължина от рамо</p>
</td>
<td>67</td>
<td>68</td>
<td>70</td>
<td>74</td>
<td>
<p></p>
<p>76</p>
<p></p>
</td>
</tr>
</tbody>
</table>
<p></p>
<p><img src=""https://topstyle.bg/img/cms/%D0%B1%D0%BB%D1%83%D0%B7%D0%B0.png"" alt="""" width=""350"" height=""350"" /></p>
<p></p>"
