id_product;id_product_attribute;variant_sku;quantity;attributes
119;240;;0;"Размер: 44"
119;241;;0;"Размер: 46"
119;242;;0;"Размер: 48"
119;243;;0;"Размер: 50"
162;341;;1;"Размер: XL | Цвят: бял"
162;342;;1;"Размер: 2XL | Цвят: бял"
163;715;;1;"Цвят: тъмнобордо | Размер: S"
163;717;;0;"Размер: L | Цвят: тъмнобордо"
163;718;;0;"Цвят: тъмнобордо | Размер: XL"
163;719;;1;"Цвят: тъмнобордо | Размер: 2XL"
165;720;;0;"Размер: S | Цвят: тъмнобордо"
165;1353;;0;"Цвят: тъмнобордо | Размер: XL"
166;353;;0;"Размер: S"
166;354;;1;"Размер: М"
188;400;;0;"Размер: S"
200;411;;0;"Размер: S | Цвят: червен"
200;413;;0;"Цвят: червен | Размер: L"
200;415;;0;"Размер: 2XL | Цвят: червен"
242;540;;0;"Размер: S | Цвят: бял"
242;541;;0;"Цвят: бял | Размер: XL"
242;542;;0;"Цвят: бял | Размер: 2XL"
246;546;;0;"Размер: XL | Цвят: син"
246;547;;0;"Размер: 2XL | Цвят: син"
249;548;;1;"Размер: S | Цвят: зелен"
249;549;;0;"Размер: М | Цвят: зелен"
339;858;;2;"Размер: 31 | Цвят: син"
339;859;;0;"Цвят: син | Размер: 32"
339;860;;0;"Цвят: син | Размер: 30"
339;861;;0;"Цвят: син | Размер: 33"
341;864;;0;"Размер: 44"
341;867;;0;"Размер: 50"
346;885;;0;"Цвят: черен | Размер: 50"
368;4749;;0;"Размер: S | Цвят: бял"
411;1069;;0;"Цвят:  сив  | Размер: М"
411;1072;;1;"Размер: 2XL | Цвят:  сив "
466;1321;;1;"Размер: S | Цвят: черен"
486;5415;;1;"Размер: М | Цвят: черен"
486;5416;;1;"Размер: L | Цвят: черен"
486;5417;;1;"Цвят: черен | Размер: XL"
486;5418;;1;"Цвят: черен | Размер: 2XL"
486;5419;;1;"Цвят: черен | Размер: 3XL"
508;1561;;1;"Цвят: жълт | Размер: 2XL"
581;4349;;1;"Цвят: черен | Размер: S"
581;4350;;0;"Цвят: черен | Размер: М"
581;4351;;0;"Размер: L | Цвят: черен"
581;4352;;0;"Размер: XL | Цвят: черен"
693;2542;;0;"Размер: М | Цвят: бял"
791;3200;;0;"Цвят: син | Размер: S"
791;3203;;0;"Размер: XL | Цвят: син"
793;4803;;1;"Размер: S"
793;4804;;0;"Размер: М"
793;4805;;0;"Размер: L"
793;4806;;0;"Размер: XL"
793;4807;;0;"Размер: 2XL"
815;3337;;2;"Цвят: тъмносин | Размер: S"
831;3411;;0;"Размер: S | Цвят: черен"
831;3412;;0;"Цвят: черен | Размер: М"
831;3413;;1;"Цвят: черен | Размер: L"
831;3414;;1;"Размер: XL | Цвят: черен"
831;3415;;0;"Цвят: черен | Размер: 2XL"
842;3505;;0;"Размер: 3XL | Цвят: бял"
883;3697;;0;"Размер: 2XL | Цвят: син"
883;3698;;0;"Размер: 3XL | Цвят: син"
898;3815;;1;"Цвят: бял | Размер: 3XL"
923;3937;;1;"Размер: S | Цвят: черен"
923;3938;;0;"Размер: М | Цвят: черен"
923;3941;;0;"Размер: 2XL | Цвят: черен"
924;3942;;0;"Размер: S | Цвят: черен"
924;3943;;0;"Цвят: черен | Размер: М"
924;3944;;0;"Цвят: черен | Размер: L"
942;4016;;0;"Размер: S"
942;4017;;0;"Размер: М"
942;4019;;0;"Размер: XL"
942;4020;;1;"Размер: 2XL"
1011;4371;;0;"Размер: 2XL | Цвят: черен"
1011;4372;;0;"Размер: 3XL | Цвят: черен"
1011;4373;;0;"Цвят: черен | Размер: 4XL"
1011;4374;;0;"Цвят: черен | Размер: 5XL"
1011;4375;;0;"Цвят: черен | Размер: 6XL"
1020;4418;;0;"Размер: 44"
1020;4419;;0;"Размер: 46"
1020;4420;;0;"Размер: 48"
1020;4421;;0;"Размер: 50"
1020;4422;;0;"Размер: 52"
1021;4425;;0;"Размер: S | Цвят: бял"
1021;4426;;0;"Цвят: бял | Размер: М"
